user_id,datetime,time_of_day,wpm,rawWpm,acc,consistency,restartCount,testDuration,afkDuration,incompleteTestSeconds,correct_characters,incorrect_characters,extra_characters,missed_characters
1,2025-07-31 17:12:36.000,evening,71.59,77.19,94.5,77.98,2,30.0,0,9.44,179,2,0,1
1,2025-07-31 17:11:36.000,evening,72.0,76.4,96.41,65.89,0,30.0,0,0.0,180,1,0,1
1,2025-07-31 17:10:57.000,evening,78.4,78.4,98.01,72.44,3,30.0,0,37.56,196,0,0,0
1,2025-07-31 17:09:13.000,evening,75.58,82.78,94.29,76.67,1,30.01,0,26.05,189,5,1,1
1,2025-07-31 17:08:04.000,evening,74.39,80.39,96.55,74.49,1,30.0,0,12.05,186,2,1,0
1,2025-07-31 17:07:11.000,evening,74.8,76.0,96.95,72.85,0,30.0,0,0.0,187,0,0,1
1,2025-07-31 17:06:34.000,evening,75.6,77.2,97.96,75.09,0,30.0,0,0.0,189,0,0,1
1,2025-07-31 17:05:58.000,evening,72.0,74.4,96.83,72.16,0,30.0,0,0.0,180,2,0,1
1,2025-07-31 17:05:20.000,evening,84.4,84.4,97.24,75.09,0,30.0,0,0.0,211,0,0,0
1,2025-07-31 17:03:55.000,evening,72.39,79.19,95.98,79.23,2,30.01,0,55.23,181,3,1,0
1,2025-07-31 17:02:09.000,evening,69.2,73.6,97.31,71.94,4,30.0,0,43.09,173,1,0,1
1,2025-07-31 16:04:13.000,afternoon,80.0,85.2,95.83,80.56,0,30.0,0,0.0,200,4,0,1
1,2025-07-31 14:22:03.000,afternoon,73.98,79.98,94.61,74.14,0,30.01,0,0.0,185,5,1,0
1,2025-07-31 13:44:01.000,afternoon,79.18,81.98,97.12,73.69,0,30.01,0,0.0,198,2,0,0
1,2025-07-31 12:45:08.000,afternoon,75.2,78.0,97.01,79.55,1,30.0,0,10.6,188,0,1,0
1,2025-07-31 12:39:41.000,afternoon,71.16,76.76,93.37,78.45,3,30.02,0,16.28,178,7,1,0
1,2025-07-31 12:38:38.000,afternoon,75.99,82.39,94.26,75.84,4,30.0,0,28.68,190,4,2,1
1,2025-07-31 12:37:07.000,afternoon,85.2,85.2,100.0,84.85,2,30.0,0,6.18,213,0,0,0
1,2025-07-31 12:08:39.000,afternoon,64.78,77.58,94.39,73.87,0,30.01,0,0.0,162,5,0,1
1,2025-07-31 12:08:05.000,afternoon,75.99,81.99,93.84,77.23,1,30.0,0,6.67,190,4,0,0
1,2025-07-31 12:07:03.000,afternoon,88.4,91.6,99.13,86.69,0,30.0,0,0.0,221,1,0,0
1,2025-07-31 10:29:09.000,morning,80.79,82.79,98.1,78.49,1,30.01,0,8.68,202,1,0,0
1,2025-07-31 09:59:39.000,morning,80.4,85.2,96.74,72.31,0,30.0,0,0.0,201,2,1,0
1,2025-07-31 09:13:07.000,morning,73.59,76.39,95.41,71.3,1,30.0,0,15.71,184,1,1,1
1,2025-07-31 09:12:13.000,morning,82.38,85.98,98.6,77.19,1,30.01,0,1.23,206,1,1,0
1,2025-07-31 08:42:35.000,morning,86.4,86.4,99.08,80.89,0,30.0,0,0.0,216,0,0,0
1,2025-07-31 08:35:42.000,morning,76.8,76.8,97.96,80.75,0,30.0,0,0.0,192,0,0,0
1,2025-07-31 08:35:07.000,morning,74.8,81.2,96.59,75.2,1,30.0,0,3.61,187,2,0,1
1,2025-07-31 08:34:28.000,morning,72.79,75.59,94.95,60.98,1,30.0,0,20.68,182,1,0,1
