_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6555c95027c5c14c2c982923,,120.73,95.41,130.32,87.39,302;9;2;0,time,30,-1,13,30.02,0,44.95,false,false,english,,normal,false,false,false,,1700120912000
6555c5d327c5c14c2c9064c0,,91.6,96.62,91.6,70.98,458;0;0;0,time,60,-1,1,60,0,2.49,true,false,english,,normal,false,false,false,,1700120019000
6555c58927c5c14c2c9062a5,,88.59,97.37,88.59,65.35,443;0;0;0,time,60,-1,3,60,0,13.63,true,false,english,,normal,false,false,false,,1700119945000
6555c53a27c5c14c2c906047,,82.79,93.19,84.39,58.72,414;1;0;0,time,60,-1,3,60,0,16,true,false,english,,normal,false,false,false,,1700119866000
6555c4e227c5c14c2c88b516,,96.59,96.65,97.59,70.42,483;1;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1700119778000
6555c49c27c5c14c2c88b2cd,,85.52,95.69,88.72,60.38,107;0;0;1,time,15,-1,0,15.01,0,0,true,false,english,,normal,false,false,false,,1700119708000
6550f64e2b8a1f66f913acc8,,115.92,89.2,140.7,87.76,145;11;2;2,time,15,-1,2,15.01,0,5.06,false,false,english,,normal,false,false,false,,1699804750000
6550dfde2b8a1f66f9e538f1,,111.98,89.22,132.77,85.75,140;10;2;2,time,15,-1,11,15,0,68.32,false,false,english,,normal,false,false,false,,1699799006000
654c6f922b8a1f66f924d0e3,,100.59,95.29,108.79,74.91,503;12;1;4,time,60,-1,3,60.01,0,30.65,false,false,english,,normal,false,false,false,,1699508114000
654c6f1b2b8a1f66f924cd47,,115.86,96.2,126.24,86.63,145;4;0;0,time,15,-1,0,15.02,0,0,false,false,english,,normal,false,false,false,,1699507995000
654c6f0a2b8a1f66f924ccce,,109.59,97.2,112.79,79.42,137;1;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1699507978000
654c6efb2b8a1f66f924cc71,,106.39,92.95,124.79,78.7,133;7;0;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1699507963000
654c6eea2b8a1f66f924cbef,,110.36,97.87,110.36,73.43,138;0;0;0,time,15,-1,21,15.01,0,58.41,false,false,english,,normal,false,false,false,,1699507946000
654c6dfd2b8a1f66f91d2de6,,109.18,98.91,109.18,80.27,273;0;0;0,time,30,-1,1,30.01,0,1.49,false,false,english,,normal,false,false,false,,1699507709000
654c6d1d2b8a1f66f91d277e,,109.97,95.52,113.57,78.08,275;4;1;1,time,30,-1,4,30.01,0,11.62,false,false,english,,normal,false,false,false,,1699507485000
